Freq.	V(v1)	V(v2)
Step Information: X=100  (Run: 1/4)
1.99526231496888e+001	(-1.60854060297436e-004dB,-4.75887975346705e-001°)	(-1.35604195663099e-001dB,-1.47687473162968e+001°)
2.51188643150959e+001	(-2.47524742459362e-004dB,-5.99105543481632e-001°)	(-2.13936577998640e-001dB,-1.85386785998698e+001°)
3.16227766016839e+001	(-3.84888433249737e-004dB,-7.54225356330627e-001°)	(-3.36659964347162e-001dB,-2.32324119695886e+001°)
3.98107170553498e+001	(-6.02594819182098e-004dB,-9.49505805697376e-001°)	(-5.27689779614389e-001dB,-2.90401296951769e+001°)
5.01187233627273e+001	(-9.47634528466854e-004dB,-1.19534168176803e+000°)	(-8.22123878356061e-001dB,-3.61585545409897e+001°)
6.30957344480195e+001	(-1.49447906973467e-003dB,-1.50481542703244e+000°)	(-1.26929726214362e+000dB,-4.47613387006960e+001°)
7.94328234724284e+001	(-2.36114494754121e-003dB,-1.89438920027007e+000°)	(-1.93411571302988e+000dB,-5.49485763427347e+001°)
1.00000000000000e+002	(-3.73463285137165e-003dB,-2.38477228222306e+000°)	(-2.89375200423509e+000dB,-6.66784314532376e+001°)
1.25892541179417e+002	(-5.91118686656535e-003dB,-3.00200539297040e+000°)	(-4.22661795738063e+000dB,-7.97032756585091e+001°)
1.58489319246112e+002	(-9.35994677884830e-003dB,-3.77881050803917e+000°)	(-5.99373457500547e+000dB,-9.35549985394272e+001°)
1.99526231496889e+002	(-1.48234526576502e-002dB,-4.75625992924209e+000°)	(-8.21944159758870e+000dB,-1.07620125598742e+002°)
2.51188643150959e+002	(-2.34760223666681e-002dB,-5.98581754885920e+000°)	(-1.08828856474301e+001dB,-1.21292639497893e+002°)
3.16227766016839e+002	(-3.71725211142108e-002dB,-7.53178980527543e+000°)	(-1.39263822620063e+001dB,-1.34128830084902e+002°)
3.98107170553498e+002	(-5.88370438677819e-002dB,-9.47417665214063e+000°)	(-1.72750124669146e+001dB,-1.45927007459115e+002°)
5.01187233627274e+002	(-9.30650195445187e-002dB,-1.19118010168274e+001°)	(-2.08561067219493e+001dB,-1.56717289120365e+002°)
6.30957344480195e+002	(-1.47043162810969e-001dB,-1.49653578939575e+001°)	(-2.46115393879064e+001dB,-1.66700660034793e+002°)
7.94328234724284e+002	(-2.31923922801567e-001dB,-1.87795573610685e+001°)	(-2.85026618432359e+001dB,-1.76181653356165e+002°)
1.00000000000000e+003	(-3.64804010812391e-001dB,-2.35226849039982e+001°)	(-3.25110733389237e+001dB,1.74483746823450e+002°)
1.25892541179417e+003	(-5.71395952811939e-001dB,-2.93805072144990e+001°)	(-3.66382753093040e+001dB,1.64924464919998e+002°)
1.58489319246112e+003	(-8.89232163872395e-001dB,-3.65395636632586e+001°)	(-4.09057562616733e+001dB,1.54784777428771e+002°)
1.99526231496889e+003	(-1.37061904916015e+000dB,-4.51533834431374e+001°)	(-4.53553929557661e+001dB,1.43760985023523e+002°)
2.51188643150959e+003	(-2.08343239673592e+000dB,-5.52868806564886e+001°)	(-5.00483694693282e+001dB,1.31652616275301e+002°)
3.16227766016839e+003	(-3.10658743955860e+000dB,-6.68443320874866e+001°)	(-5.50593312104407e+001dB,1.18423431161874e+002°)
3.98107170553499e+003	(-4.51722278954344e+000dB,-7.95081086142442e+001°)	(-6.04626046794556e+001dB,1.04242284810749e+002°)
5.01187233627274e+003	(-6.37071389783358e+000dB,-9.27366897158659e+001°)	(-6.63112326879351e+001dB,8.94475338549953e+001°)
